Year,Decimal Day of Year,Date Time,month,TOD,TOY
1917,120.4792,04/30/1917 11:30:00 AM,04,0.47920000000000584,120.0
1918,131.3979,05/11/1918 09:33:00 AM,05,0.3978999999999928,131.0
1919,123.6063,05/03/1919 02:33:00 PM,05,0.6063000000000045,123.0
1920,132.4486,05/11/1920 10:46:00 AM,05,0.448599999999999,132.0
1921,131.2792,05/11/1921 06:42:00 AM,05,0.279200000000003,131.0
1922,132.5556,05/12/1922 01:20:00 PM,05,0.5555999999999983,132.0
1923,129.0833,05/09/1923 02:00:00 AM,05,0.08330000000000837,129.0
1924,132.6319,05/11/1924 03:10:00 PM,05,0.6319000000000017,132.0
1925,127.7722,05/07/1925 06:32:00 PM,05,0.772199999999998,127.0
1926,116.6688,04/26/1926 04:03:00 PM,04,0.6688000000000045,116.0
1927,133.2375,05/13/1927 05:42:00 AM,05,0.23750000000001137,133.0
1928,127.684,05/06/1928 04:25:00 PM,05,0.6839999999999975,127.0
1929,125.6535,05/05/1929 03:41:00 PM,05,0.653499999999994,125.0
1930,128.7938,05/08/1930 07:03:00 PM,05,0.7938000000000045,128.0
1931,130.391,05/10/1931 09:23:00 AM,05,0.39099999999999113,130.0
1932,122.4271,05/01/1932 10:15:00 AM,05,0.4270999999999958,122.0
1933,128.8125,05/08/1933 07:30:00 PM,05,0.8125,128.0
1934,120.5882,04/30/1934 02:07:00 PM,04,0.5882000000000005,120.0
1935,135.5639,05/15/1935 01:32:00 PM,05,0.5638999999999896,135.0
1936,121.5403,04/30/1936 12:58:00 PM,04,0.540300000000002,121.0
1937,132.8361,05/12/1937 08:04:00 PM,05,0.8360999999999876,132.0
1938,126.8431,05/06/1938 08:14:00 PM,05,0.8431000000000068,126.0
1939,119.5597,04/29/1939 01:26:00 PM,04,0.5597000000000065,119.0
1940,111.6438,04/20/1940 03:27:00 PM,04,0.6437999999999988,111.0
1941,123.0764,05/03/1941 01:50:00 AM,05,0.07640000000000668,123.0
1942,120.5611,04/30/1942 01:28:00 PM,04,0.5610999999999962,120.0
1943,118.8069,04/28/1943 07:22:00 PM,04,0.8068999999999988,118.0
1944,125.5889,05/04/1944 02:08:00 PM,05,0.5888999999999953,125.0
1945,136.4035,05/16/1945 09:41:00 AM,05,0.4035000000000082,136.0
1946,125.6944,05/05/1946 04:40:00 PM,05,0.6944000000000017,125.0
1947,123.7451,05/03/1947 05:53:00 PM,05,0.7450999999999937,123.0
1948,134.4674,05/13/1948 11:13:00 AM,05,0.4673999999999978,134.0
1949,134.5271,05/14/1949 12:39:00 PM,05,0.5270999999999901,134.0
1950,126.6764,05/06/1950 04:14:00 PM,05,0.676400000000001,126.0
1951,120.7458,04/30/1951 05:54:00 PM,04,0.7458000000000027,120.0
1952,133.7111,05/12/1952 05:04:00 PM,05,0.7110999999999876,133.0
1953,119.6625,04/29/1953 03:54:00 PM,04,0.6624999999999943,119.0
1954,126.7507,05/06/1954 06:01:00 PM,05,0.7506999999999948,126.0
1955,129.5924,05/09/1955 02:13:00 PM,05,0.5923999999999978,129.0
1956,122.975,05/01/1956 11:24:00 PM,05,0.9749999999999943,122.0
1957,125.3958,05/05/1957 09:30:00 AM,05,0.39579999999999416,125.0
1958,119.6222,04/29/1958 02:56:00 PM,04,0.6222000000000065,119.0
1959,128.4764,05/08/1959 11:26:00 AM,05,0.47640000000001237,128.0
1960,123.8,05/02/1960 07:12:00 PM,05,0.7999999999999972,123.0
1961,125.4799,05/05/1961 11:31:00 AM,05,0.47990000000000066,125.0
1962,132.9743,05/12/1962 11:23:00 PM,05,0.9742999999999995,132.0
1963,125.7674,05/05/1963 06:25:00 PM,05,0.767399999999995,125.0
1964,141.4868,05/20/1964 11:41:00 AM,05,0.48679999999998813,141.0
1965,127.7924,05/07/1965 07:01:00 PM,05,0.7924000000000007,127.0
1966,128.5076,05/08/1966 12:11:00 PM,05,0.5075999999999965,128.0
1967,124.4965,05/04/1967 11:55:00 AM,05,0.4964999999999975,124.0
1968,129.3931,05/08/1968 09:26:00 AM,05,0.393100000000004,129.0
1969,118.5194,04/28/1969 12:28:00 PM,04,0.5194000000000045,118.0
1970,124.4424,05/04/1970 10:37:00 AM,05,0.44240000000000634,124.0
1971,128.8965,05/08/1971 09:31:00 PM,05,0.8965000000000032,128.0
1972,131.4972,05/10/1972 11:56:00 AM,05,0.4971999999999923,131.0
1973,124.4993,05/04/1973 11:59:00 AM,05,0.4993000000000052,124.0
1974,126.6556,05/06/1974 03:44:00 PM,05,0.6556000000000068,126.0
1975,130.5757,05/10/1975 01:49:00 PM,05,0.5757000000000119,130.0
1976,123.4521,05/02/1976 10:51:00 AM,05,0.4521000000000015,123.0
1977,126.5319,05/06/1977 12:46:00 PM,05,0.5318999999999932,126.0
1978,120.6375,04/30/1978 03:18:00 PM,04,0.6375000000000028,120.0
1979,120.7611,04/30/1979 06:16:00 PM,04,0.761099999999999,120.0
1980,120.5528,04/29/1980 01:16:00 PM,04,0.5528000000000048,120.0
1981,120.7806,04/30/1981 06:44:00 PM,04,0.7806000000000068,120.0
1982,130.7333,05/10/1982 05:36:00 PM,05,0.733300000000014,130.0
1983,119.7757,04/29/1983 06:37:00 PM,04,0.7757000000000005,119.0
1984,130.6479,05/09/1984 03:33:00 PM,05,0.6478999999999928,130.0
1985,131.6083,05/11/1985 02:36:00 PM,05,0.608300000000014,131.0
1986,128.9514,05/08/1986 10:50:00 PM,05,0.9514000000000067,128.0
1987,125.6326,05/05/1987 03:11:00 PM,05,0.6325999999999965,125.0
1988,118.3854,04/27/1988 09:15:00 AM,04,0.3854000000000042,118.0
1989,121.8431,05/01/1989 08:14:00 PM,05,0.8431000000000068,121.0
1990,114.7215,04/24/1990 05:19:00 PM,04,0.721500000000006,114.0
1991,121.0028,05/01/1991 12:04:00 PM,05,0.0027999999999934744,121.0
1992,135.2681,05/14/1992 06:26:00 AM,05,0.268100000000004,135.0
1993,113.5424,04/23/1993 01:01:00 PM,04,0.5424000000000007,113.0
1994,119.959,04/29/1994 11:01:00 PM,04,0.9590000000000032,119.0
1995,116.5569,04/26/1995 01:22:00 PM,04,0.5568999999999988,116.0
1996,126.5222,05/05/1996 12:32:00 PM,05,0.522199999999998,126.0
1997,120.4361,04/30/1997 10:28:00 AM,04,0.43609999999999616,120.0
1998,110.7042,04/20/1998 04:54:00 PM,04,0.7042000000000002,110.0
1999,119.9076,04/29/1999 09:47:00 PM,04,0.9076000000000022,119.0
2000,122.4493,05/01/2000 10:47:00 AM,05,0.4492999999999938,122.0
2001,128.5417,05/08/2001 01:00:00 PM,05,0.5416999999999916,128.0
2002,127.8938,05/07/2002 09:27:00 PM,05,0.8937999999999988,127.0
2003,119.7653,04/29/2003 06:22:00 PM,04,0.7652999999999963,119.0
2004,115.5944,04/24/2004 02:16:00 PM,04,0.5943999999999932,115.0
2005,118.5007,04/28/2005 12:01:00 PM,04,0.5006999999999948,118.0
2006,122.7285,05/02/2006 05:29:00 PM,05,0.7284999999999968,122.0
2007,117.6576,04/27/2007 03:47:00 PM,04,0.6576000000000022,117.0
2008,127.9535,05/06/2008 10:53:00 PM,05,0.9535000000000053,127.0
2009,121.8618,05/01/2009 08:41:00 PM,05,0.8618000000000023,121.0
2010,119.3792,04/29/2010 09:06:00 AM,04,0.3791999999999973,119.0
2011,124.6833,05/04/2011 04:24:00 PM,05,0.6833000000000027,124.0
2012,114.8188,04/23/2012 07:39:00 PM,04,0.818799999999996,114.0
2013,140.6118,05/20/2013 02:41:00 PM,05,0.6117999999999881,140.0
2014,115.6583,04/25/2014 03:48:00 PM,04,0.658299999999997,115.0
2015,114.6007,04/24/2015 02:25:00 PM,04,0.6007000000000033,114.0
2016,114.6521,04/23/2016 03:39:00 PM,04,0.6521000000000043,114.0
2017,121.5,05/01/2017 12:00:00 PM,05,0.5,121.0
2018,121.5542,05/01/2018 01:18:00 PM,05,0.5541999999999945,121.0
2019,104.0146,04/14/2019 12:21:00 AM,04,0.0146000000000015,104.0
2020,118.5389,04/27/2020 12:56:00 PM,04,0.5388999999999982,118.0
