max_temp,mean_temp,min_temp,station_pressure,x_month,Year,class_month
60.5,48.6,36.6,29.27,5,1998,04
34.3,26.0,17.6,29.27,10,1998,04
53.9,45.1,36.2,29.28,9,1998,04
70.5,60.5,50.4,29.44,7,1998,04
16.9,9.0,1.1,29.21,11,1998,04
33.2,21.3,9.3,29.33,3,1998,04
67.6,56.6,45.6,29.5,6,1998,04
14.0,3.5,-7.1,29.04,2,1998,04
-0.4,-12.6,-24.9,29.21,2,1999,04
19.8,7.0,-5.8,29.24,3,1999,04
57.8,46.0,34.2,29.38,5,1999,04
71.4,59.0,46.6,29.34,6,1999,04
67.2,56.6,46.0,29.33,8,1999,04
55.2,44.5,33.8,29.29,9,1999,04
4.5,-3.9,-12.3,29.21,11,1999,04
0.4,-11.9,-24.2,29.43,1,1999,04
22.2,15.6,9.0,29.19,10,1999,04
53.8,43.1,32.4,29.5,5,2000,05
4.8,-3.3,-11.3,29.33,1,2000,05
18.1,6.0,-6.2,29.27,2,2000,05
28.3,16.3,4.2,29.19,3,2000,05
41.2,29.8,18.3,29.41,4,2000,05
58.7,50.4,42.1,29.54,8,2000,05
48.7,40.6,32.5,29.37,9,2000,05
30.7,22.0,13.3,29.24,10,2000,05
68.1,58.3,48.5,29.39,7,2000,05
20.6,10.3,0.0,29.47,2,2001,05
19.2,8.2,-2.9,29.37,3,2001,05
41.3,31.1,20.9,29.3,4,2001,05
53.1,42.4,31.6,29.35,5,2001,05
71.4,58.9,46.3,29.53,6,2001,05
67.3,58.7,50.1,29.43,7,2001,05
65.4,55.7,46.0,29.34,8,2001,05
58.9,46.1,33.2,29.22,9,2001,05
28.6,21.5,14.4,29.25,10,2001,05
9.7,0.8,-8.1,29.27,11,2001,05
21.5,13.1,4.7,29.01,1,2001,05
37.5,31.8,26.0,29.34,10,2002,05
27.0,20.4,13.7,29.12,11,2002,05
36.7,25.9,15.1,29.67,4,2002,05
61.8,49.6,37.4,29.5,5,2002,05
68.3,56.6,44.9,29.35,6,2002,05
70.9,60.1,49.3,29.45,7,2002,05
58.6,49.9,41.2,29.42,8,2002,05
25.9,14.6,3.3,29.75,3,2002,05
55.4,46.0,36.5,29.31,9,2002,05
58.6,46.0,33.3,29.39,5,2003,04
70.0,57.9,45.7,29.4,6,2003,04
50.1,41.1,32.0,29.42,9,2003,04
11.2,1.9,-7.5,29.34,1,2003,04
22.0,11.8,1.5,29.42,2,2003,04
-2.2,0.0,-18.3,29.7,1,2004,04
13.3,2.6,-8.1,29.24,2,2004,04
17.0,4.4,-8.2,29.43,3,2004,04
46.3,35.4,24.5,29.41,4,2004,04
62.5,51.9,41.3,29.48,5,2004,04
75.9,64.5,53.0,29.47,6,2004,04
74.8,64.1,53.4,29.41,7,2004,04
72.3,60.0,47.7,29.49,8,2004,04
47.0,37.8,28.5,29.33,9,2004,04
35.7,29.8,23.9,29.17,10,2004,04
17.6,10.3,2.9,29.19,11,2004,04
5.5,-2.9,-11.2,29.39,12,2004,04
17.4,3.3,-10.8,29.44,2,2005,04
10.5,-0.9,-12.2,29.65,1,2005,04
27.3,17.5,7.6,29.34,3,2005,04
71.7,61.0,50.2,29.38,7,2005,04
67.0,54.7,42.4,29.38,5,2005,04
71.9,60.8,49.6,29.44,6,2005,04
67.6,56.7,45.8,29.47,8,2005,04
53.5,46.4,39.3,29.3,9,2005,04
32.4,26.7,21.0,29.13,10,2005,04
0.9,-7.0,-14.8,29.42,11,2005,04
14.0,3.5,-7.1,29.13,12,2005,04
44.0,30.6,17.1,29.47,4,2005,04
63.0,53.8,44.5,29.39,8,2006,05
68.9,57.8,46.7,29.47,6,2006,05
10.7,1.7,-7.3,28.98,12,2006,05
1.5,-6.2,-13.9,29.67,11,2006,05
62.1,48.8,35.5,29.46,5,2006,05
-17.1,-24.0,-30.8,29.28,1,2006,05
59.7,49.7,39.7,29.35,9,2006,05
21.8,13.0,4.2,29.49,2,2006,05
38.2,31.8,25.3,29.37,10,2006,05
38.4,27.7,16.9,29.27,4,2006,05
69.0,59.9,50.7,29.43,7,2006,05
17.1,5.7,-5.7,29.58,3,2006,05
22.8,14.6,6.3,29.24,11,2007,04
7.6,-3.0,-13.5,29.6,2,2007,04
7.1,-7.1,-21.3,29.59,3,2007,04
50.2,37.5,24.7,29.23,4,2007,04
62.1,50.0,37.8,29.41,5,2007,04
71.9,59.9,47.9,29.43,6,2007,04
74.5,63.5,52.5,29.41,7,2007,04
70.1,59.0,47.9,29.49,8,2007,04
56.0,46.7,37.4,29.33,9,2007,04
9.2,0.5,-8.3,29.36,12,2007,04
28.6,21.9,15.2,29.18,10,2007,04
10.0,-1.0,-11.9,29.39,1,2008,05
8.8,-2.8,-14.4,29.37,2,2008,05
22.7,12.3,1.8,29.38,3,2008,05
38.3,28.6,18.8,29.52,4,2008,05
59.5,47.3,35.1,29.46,5,2008,05
67.3,58.4,49.5,29.37,7,2008,05
62.1,52.5,42.9,29.38,8,2008,05
53.4,44.5,35.6,29.38,9,2008,05
8.4,0.3,-7.9,29.31,11,2008,05
3.4,-5.4,-14.2,29.68,12,2008,05
68.6,57.3,46.0,29.42,6,2008,05
22.0,14.5,7.0,29.34,10,2008,05
7.1,-1.4,-9.9,29.05,11,2009,05
0.8,-7.3,-15.3,29.51,1,2009,05
11.2,0.9,-9.4,29.57,2,2009,05
17.9,5.7,-6.6,29.49,3,2009,05
43.7,30.5,17.3,29.57,4,2009,05
61.6,49.5,37.4,29.53,5,2009,05
69.4,57.9,46.3,29.42,6,2009,05
77.8,64.2,50.5,29.55,7,2009,05
56.1,45.9,35.6,29.27,8,2009,05
8.1,0.7,-6.8,29.54,12,2009,05
56.1,45.9,35.6,29.27,9,2009,05
37.6,29.8,22.0,29.42,10,2009,05
-10.9,-17.8,-24.6,29.57,12,2010,04
-3.1,-11.3,-19.5,29.42,1,2010,04
16.4,8.0,-0.4,29.31,2,2010,04
23.7,10.2,-3.4,29.12,3,2010,04
48.9,36.5,24.0,29.25,4,2010,04
65.7,52.1,38.4,29.47,5,2010,04
71.2,61.2,51.1,29.44,7,2010,04
57.4,45.6,33.7,29.47,9,2010,04
35.8,27.9,19.9,29.12,10,2010,04
19.8,13.3,6.7,29.42,11,2010,04
69.0,58.8,48.6,29.38,6,2010,04
10.1,-1.5,-13.0,29.72,2,2011,05
8.5,-0.6,-9.6,29.54,1,2011,05
15.7,5.2,-5.3,29.21,12,2011,05
2.8,-5.5,-13.7,29.32,11,2011,05
35.5,26.9,18.3,29.18,10,2011,05
57.5,47.3,37.0,29.12,9,2011,05
69.6,59.6,49.5,29.38,7,2011,05
70.0,61.3,52.5,29.2,6,2011,05
40.4,28.5,16.5,29.36,4,2011,05
24.4,11.5,-1.4,29.45,3,2011,05
64.8,54.6,44.4,29.32,8,2011,05
-1.9,-11.0,-20.1,29.37,12,2012,04
3.1,-6.6,-16.3,29.63,11,2012,04
30.2,22.6,15.0,29.67,10,2012,04
54.9,45.1,35.2,29.23,9,2012,04
65.8,55.5,45.2,29.46,8,2012,04
71.1,60.1,49.1,29.36,6,2012,04
58.6,46.6,34.6,29.33,5,2012,04
69.1,58.8,48.4,29.47,7,2012,04
-9.9,-21.2,-32.4,29.47,1,2012,04
14.3,1.2,-11.9,29.24,3,2012,04
47.2,34.6,22.0,29.42,4,2012,04
22.0,11.8,1.6,29.23,2,2012,04
6.0,-1.7,-9.3,29.68,12,2013,05
16.1,7.9,-0.3,29.59,11,2013,05
37.8,31.0,24.1,29.24,10,2013,05
49.3,42.1,34.9,29.23,9,2013,05
72.8,61.8,50.8,29.59,7,2013,05
76.7,64.6,52.5,29.52,6,2013,05
54.5,42.3,30.0,29.53,5,2013,05
29.7,17.7,5.6,29.72,4,2013,05
20.2,6.0,-8.2,29.63,3,2013,05
9.4,-2.0,-13.3,29.24,2,2013,05
68.5,57.5,46.5,29.36,8,2013,05
12.2,3.4,-5.4,29.46,1,2013,05
55.5,45.3,35.1,29.39,9,2014,04
17.5,10.0,2.4,29.28,1,2014,04
9.0,-0.5,-9.9,29.6,2,2014,04
27.4,14.4,1.3,29.45,3,2014,04
45.3,31.9,18.4,29.34,4,2014,04
62.2,49.0,35.8,29.6,5,2014,04
66.0,56.0,46.0,29.38,6,2014,04
68.4,59.0,49.6,29.49,7,2014,04
66.9,57.9,48.8,29.37,8,2014,04
30.3,23.7,17.1,29.27,10,2014,04
21.7,14.3,6.8,29.45,11,2014,04
16.4,8.4,0.4,29.24,12,2014,04
50.2,42.3,34.4,29.3,9,2015,04
37.6,31.4,25.1,29.31,10,2015,04
47.9,36.9,25.8,29.21,4,2015,04
10.2,1.5,-7.3,29.12,12,2015,04
62.7,54.5,46.3,29.47,8,2015,04
18.8,12.4,5.9,29.23,11,2015,04
71.8,61.8,51.8,29.41,7,2015,04
4.7,-2.5,-9.6,29.57,1,2015,04
69.4,55.0,40.6,29.55,5,2015,04
30.0,17.5,5.0,29.44,3,2015,04
18.0,7.3,-3.5,29.66,2,2015,04
71.2,59.5,47.8,29.47,6,2015,04
71.0,62.7,54.3,29.47,7,2016,04
69.7,59.1,48.5,29.44,6,2016,04
63.4,52.3,41.2,29.54,5,2016,04
37.8,28.4,19.0,29.43,10,2016,04
23.2,13.5,3.8,29.2,2,2016,04
19.4,11.5,3.5,29.16,1,2016,04
72.2,62.2,52.2,29.51,8,2016,04
28.0,17.6,7.2,29.29,3,2016,04
55.6,45.6,35.6,29.39,9,2016,04
49.5,38.4,27.2,29.33,4,2016,04
15.0,7.0,-1.1,29.18,11,2016,04
7.6,-1.0,-9.6,29.54,12,2016,04
48.8,43.2,37.5,29.34,9,2017,05
66.4,57.7,48.9,29.31,8,2017,05
62.0,49.5,37.0,29.37,5,2017,05
38.9,32.4,25.8,29.34,10,2017,05
17.2,11.4,5.5,29.54,11,2017,05
24.5,17.3,10.1,29.44,12,2017,05
75.7,65.3,54.9,29.49,7,2017,05
72.6,60.4,48.2,29.38,6,2017,05
3.2,-6.7,-16.6,29.51,1,2017,05
11.1,1.7,-7.8,29.49,2,2017,05
13.7,-2.5,-18.6,29.67,3,2017,05
45.4,34.5,23.6,29.44,4,2017,05
43.5,35.3,27.1,29.28,10,2018,05
6.5,-1.2,-8.8,29.49,1,2018,05
20.9,14.7,8.5,29.36,11,2018,05
18.6,10.3,2.0,29.75,2,2018,05
41.5,30.2,18.8,29.38,4,2018,05
60.2,48.8,37.4,29.34,5,2018,05
70.5,58.6,46.6,29.38,6,2018,05
9.9,0.8,-8.3,29.15,12,2018,05
63.6,56.0,48.3,29.39,8,2018,05
56.5,47.9,39.2,29.67,9,2018,05
28.3,17.9,7.4,29.6,3,2018,05
76.4,64.6,52.8,29.59,7,2018,05
6.4,-2.2,-10.8,29.15,12,2019,04
21.3,16.1,10.9,29.39,11,2019,04
6.8,-2.9,-12.5,29.46,1,2019,04
20.9,11.1,1.3,29.73,2,2019,04
39.3,29.6,19.9,29.44,3,2019,04
47.3,36.2,25.1,29.36,4,2019,04
64.7,52.7,40.7,29.41,5,2019,04
57.7,48.5,39.3,29.34,9,2019,04
38.7,32.5,26.3,29.39,10,2019,04
70.1,59.9,49.7,29.31,8,2020,04
55.8,48.0,40.2,29.41,9,2020,04
36.5,29.8,23.0,29.53,10,2020,04
16.9,8.5,0.1,29.26,11,2020,04
13.6,4.6,-4.4,29.18,12,2020,04
21.7,11.7,1.6,29.71,3,2020,04
43.2,34.7,26.1,29.52,4,2020,04
8.7,-3.8,-16.3,29.42,2,2020,04
-8.3,-16.1,-23.8,29.49,1,2020,04
71.0,59.9,48.7,29.36,6,2020,04
66.8,53.2,39.5,29.47,5,2020,04
70.6,61.5,52.3,29.46,7,2020,04
